name,lat,lon,vars,star,end,accum_TCP_50Y,accum_TCP_1TC,TCP_p70,TCP_p80,TCP_p90,TCP_p95,TCP_p100,TCP_p99,num_record
USC00193505,42.7594,-71.0603,PRCP,1899,2020,2731.3178847819404,3.1945238418502226,41.6566920849191,47.54055955112945,55.9,67.68044914124698,151.9,123.61999999999989,71
USC00193624,42.2269,-70.9125,PRCP,1960,2020,3230.6622302085643,3.7785523160334087,40.38107226713455,45.657678809380904,60.024742297962185,67.5,119.4,92.48200000000001,87
USC00193821,41.665,-70.3039,PRCP,1893,2020,2995.179361035461,3.5031337555970308,41.244504595005324,45.7,59.492327072488976,76.95,153.4,118.375,76
USC00194105,42.6992,-71.1658,PRCP,1893,2020,2803.8144175067337,3.2793151081950103,43.794320969086066,49.29011992524268,59.92000000000002,75.19999999999999,153.7,131.5999999999998,69
USC00194711,41.8819,-70.9086,PRCP,1893,2020,3269.69454040129,3.824204140820222,42.445634254060764,48.63372339284159,58.729686171674004,71.98819389072466,106.9,104.52000000000001,86
USC00194744,42.5933,-71.0186,PRCP,1925,2020,2995.990756443049,3.5040827560737418,42.85359008125688,46.55260463407976,60.39705468044712,67.42999999999999,101.1,82.84799999999998,79
USC00194760,42.1633,-71.5119,PRCP,1885,2020,3145.5762416966522,3.6790365399960843,45.39339843510377,55.65851564028385,77.0,94.57999999999998,128.3,119.42000000000006,75
USC00195285,42.8319,-70.9153,PRCP,1893,2019,3057.9853153919003,3.5765910121542692,41.011080599128135,46.72626685282308,57.28716737610632,90.67999999999998,135.6,114.61799999999997,79
USC00195524,42.115,-71.6761,PRCP,1964,2020,3331.2383099921735,3.8961851578855833,44.000207435640725,50.0,67.49520720250631,94.375,106.2,104.415,86
USC00196938,41.785,-70.9175,PRCP,1900,2020,3240.015021369105,3.7894912530632805,41.438514810928396,49.72704624175253,62.30000000000001,68.47999999999999,119.9,105.78799999999993,85
USC00197627,42.0583,-72.0722,PRCP,1926,2020,3307.636846694426,3.8685811072449425,44.38093757684997,52.34687749383709,72.15397902730916,82.97499999999998,161.5,147.02400000000006,78
USC00221094,31.5447,-90.4581,PRCP,1893,2020,4365.726120801298,5.106112421989822,34.27576512108152,44.12000000000005,63.42,101.7549999999997,170.2,160.98299999999995,122
USC00221860,32.42,-88.7603,PRCP,1965,2020,4312.284523578472,5.043607629916341,37.8,48.5,73.4,94.0,136.7,126.97999999999999,121
USC00221865,31.2503,-89.8361,PRCP,1903,2020,5268.066705667174,6.161481527096109,35.50463907748249,42.82,69.72040868883663,82.74000000000001,309.9,151.6280000000005,158
USC00222034,32.0853,-88.5297,PRCP,1940,2020,3418.9463271139803,3.998767634051439,33.51114756595259,40.79913566179856,67.88000000000007,102.00499999999997,170.7,151.79100000000008,100
USC00223887,31.2547,-89.3392,PRCP,1893,2020,5672.497988741272,6.6345005716272185,33.715733163026606,41.51266852926808,82.07999999999998,99.91999999999982,228.6,177.99800000000027,155
